Average m/z,Average rt,Average sn,Average score,/home/hack_summer/mass-suite/example_data/ex_2.mzM,/home/hack_summer/mass-suite/example_data/ex_1.mzM,/home/hack_summer/mass-suite/example_data/ex_3.mzM
277.20493,7.54,5000.0,1.0,2194920.0,2263103.2,2235222.8
277.32693,5.18,5000.0,1.0,382102.78,371268.9,438880.84
278.1861,5.18,3334.9592,1.0,1447354.4,3042707.0,2867163.5
278.27145,13.737,5000.0,1.0,2094846.9,2030215.2,2041475.1
279.15213,7.323,3336.121,1.0,1295997.6,1455576.8,1418368.6
279.16336,11.87,1676.913,1.0,5917341.0,5988636.5,5956862.0
282.1946,4.213,5000.0,1.0,2912120.5,2943529.0,2905684.5
282.28494,15.593,2.6450002,1.0,561653.6,502190.47,240401.53
283.15567,6.7,5000.0,1.0,12771947.0,12900394.0,12767586.0
283.1559,7.23,5000.0,1.0,2840966.5,0.0,0.0
283.184,8.48,5000.0,1.0,127728456.0,128818560.0,128779470.0
283.2463,8.39,5000.0,1.0,2693169.8,2683138.2,2575798.0
283.33127,8.473,3338.1726,1.0,6460765.5,6446868.0,6392894.5
284.15982,6.697,5000.0,1.0,2109762.8,2151571.2,2113694.8
284.18823,8.473,5000.0,1.0,26172090.0,26327652.0,26149966.0
284.21097,4.51,5000.0,1.0,2671474.5,2762722.5,2673190.2
285.16183,6.63,5000.0,1.0,568412.4,521825.0,514617.7
285.16183,5.953,5000.0,1.0,870750.94,984853.8,938538.75
285.19034,8.46,3335.5735,1.0,1399544.9,1459776.2,1295542.0
288.11987,6.07,5000.0,1.0,649394.25,658362.2,755220.94
288.15448,5.657,5000.0,1.0,762470.25,766858.6,715745.75
290.18445,9.797,5000.0,1.0,3526082.8,3506952.5,3469208.0
296.2103,4.737,5000.0,1.0,1497084.8,2040683.0,1979829.4
297.16165,10.293,1672.3251,1.0,1827359.9,1777923.2,1872056.2
298.2276,5.04,5000.0,1.0,190509.83,0.0,0.0
298.35266,15.197,5000.0,1.0,8266208.0,8300921.0,8210917.5
299.17725,6.013,5000.0,1.0,2208430.8,2305560.8,2213564.5
299.17725,7.22,5000.0,1.0,2760684.0,2941190.2,2753497.0
299.3565,15.2,5.795,1.0,0.0,186074.53,0.0
303.17276,5.087,5000.0,1.0,8435163.0,8563746.0,11169244.0
304.18503,4.99,1672.1783,1.0,866068.2,969342.1,914121.0
305.2698,13.883,5000.0,1.0,6341994.0,2731829.2,6345837.0
306.1625,7.22,5000.0,1.0,4596030.0,4455205.0,4572227.5
307.21542,5.797,5000.0,1.0,4087327.2,4145280.0,4073420.8
309.22708,6.107,5000.0,1.0,3315342.5,5387087.0,2090373.8
310.15616,4.213,5000.0,1.0,688347.06,677994.8,622812.75
315.17953,5.647,5000.0,1.0,5142078.5,10495608.0,10297685.0
322.29767,13.81,1699.9287,1.0,16254325.0,16241265.0,16086773.0
