Average m/z,Average rt,Average sn,Sample-T0,Sample-15min,Sample-30min,Sample-1h,Sample-2.5h,Sample-4h,Sample-6h
103.96106,19.579,3.6123528,131475.856,51367.97233,64063.68367,136935.5447,31051.667,21252.42667,36843.92
103.96114,20.309,2.9843328,109734.1227,62144.49833,81020.29833,90125.07567,7422.865333,26320.92333,23822.59433
104.00806,2.194,2.7132,0,107112.642,10204.81567,39217.35,0,0,15086.388
104.00822,21.389,175.69014,320713.96,252765.99,223997.1833,321713,176075.399,137985.748,174246.3233
104.00855,1.69,3.468885,455494.1067,256257.3287,307857.5,207688.9933,219894.31,214800.58,211098.84
104.00917,0.899,5.4178796,353507.63,223151.2623,310608.37,434057.3867,246457.8233,134115.14,110525.2367
104.00939,0.23,2.8793333,67673.725,89807.07,92804.81267,42365.58867,105767.1117,73761.96867,94665.16
104.00961,22.091,4.331364,83413.82867,69783.91267,11959.12767,189589.818,99109.041,106397.2067,41329.91333
107.02778,3.138,4.723167,0,957911.9267,0,858642.1667,0,711028.0667,622214.5
107.0278,21.75,2.68,0,0,0,262999.7,0,0,0
107.02824,3.791,9.298858,658235.1333,1229768.067,861874.1667,643905.3333,0,1495842.5,1329291.767
107.02851,6.407,8.814143,249621.1,228551.7333,350597.8333,0,902800.3333,800808.6,0
107.02859,4.547,19.08393,2373941.933,2674653.333,2092287.933,2418019.233,2060159.7,2566551.8,1769914.567
107.02898,5.297,27.247927,2713616,2875874.833,2891509.433,2850427.5,2706401.933,2613217,2161438.167
107.02905,5.767,23.105955,3052876.533,2072660.367,1481533.267,2756056.667,2401548.933,1713570.333,2523059.167
107.02965,10.175,2.5285,0,0,0,256801.8,0,0,0
107.03033,8.722,2.9870002,0,240982.3133,575081.82,0,722602.2667,0,0
107.03045,6.94,2.25,0,125487.6967,79961.56667,0,680938.8,0,0
107.03088,9.515,3.92575,266654.5833,0,0,293585.4,0,73443.29333,0
107.03093,7.627,337.3034,339091.9167,137457.3433,569110.06,104124.5733,756179,1402776,127696.52
107.0311,11.08,5.363,0,0,0,0,375693,0,0
107.03175,22.325,68.2995,0,312714.8333,0,302087.5,0,0,0
107.03197,21.099,1558.5114,643142.6,769620.1,794728.9667,728332.7867,575102.56,570987.4733,508170.58
107.03203,2.298,3.2475882,115704.0833,218085.2,106522.8933,38254.52667,0,27824.02167,15842.04833
107.05879,6.859,2622.2903,909267.7333,897800.4167,812987.9167,616328.3467,414294.3667,258174.5367,246811.31
108.06865,6.829,5000,293149.97,231208.11,221687.0467,209000.4833,105695.7353,83063.07333,66788.12333
109.02483,21.091,3.9774141,100380.9953,114752.8247,100421.0167,107386.1263,81975.26667,88816.01667,105349.1347
110.0074,16.84,4.188,0,0,0,442865.0333,0,0,0
110.0074,19.88,6.99,0,0,0,490159.1333,0,0,0
110.0074,16.26,5.826,0,0,0,497664.5,0,0,0
110.00864,1.703,4.2745004,0,53746.39,0,435564.0333,0,0,0
110.0088,4.315,12.009874,689104.8,0,0,0,859492.6667,842265.6667,1012334.267
110.00906,4.987,16.46854,2945228.9,3033544.333,2688196.933,1961849.873,2613688.833,2146390.467,2532406.5
110.00914,5.82,10.884884,2955034,1995992.667,2878459.5,2936571.6,1772590.433,2609750.333,2045003.5
110.0092,0.878,812.2462,0,46601.48333,0,0,54316.52,2601604.433,850080.5
110.00965,5.23,17.931143,1295069.767,1672487.233,0,959535.9333,1747513.567,0,0
110.00981,6.399,15.263364,313104.5333,0,200428,943452.6667,0,861638.6667,825115.1667
110.01011,7.846,9.2624,0,207300.75,0,926533.1667,853241.6,826667.8333,143258.1667
110.01012,7.061,4.840375,0,207405.94,352513.51,0,855697.4,0,0
110.01075,8.49,845.1372,941671.9333,0,0,928307.8333,0,828611.8333,19431.72
110.01083,21.9,3.5259998,0,0,66031.82667,122804.0533,0,0,0
110.0112,9.86,2.45,0,180483.0333,0,0,0,0,0
110.0112,10.76,2.567,0,0,214262.4167,0,0,0,145921.25
110.0113,11.745,2.947,385269.5333,0,56940.51667,0,0,0,0
110.01168,9.386,3.0136,802271.6,0,0,39398.57,0,10422.82867,0
110.01236,20.982,1114.6274,118031.1633,178042.11,148925.1767,215515.2433,145588.3733,176351.0183,151895.4633
111.00984,20.843,268.17966,75619.21,129726.9183,87247.76867,61099.765,55265.67,74110.27333,48642.65533
111.01034,1.037,7.1516113,63048.43333,42257.06333,208918.82,12974.74,45768.76167,286617.52,56060.94333
111.01059,2.857,2.9402225,0,0,104463.96,7306.307333,0,0,70606.07667
111.01077,4.88,4.252875,210310.0267,194591.1633,166306.0667,89782.70767,77888.11333,144747.8133,11706.43667
111.01092,2.063,336.76816,118976.5643,8701.427,84716.08333,0,128060.4967,0,69612.49533
111.01125,3.34,4.027,0,0,95263.4,0,109213.6333,15851.13533,135234.6
111.01134,6.209,3.7108335,178344.24,111315.5613,102201.035,114222.415,186378.6967,146627.7667,84097.74567
111.01138,5.552,6.22125,157508.3233,163438.6467,319454.4433,90076.26,79225.07333,6369.765667,74782.98333
111.0114,3.747,3.785643,155263.01,343423.82,0,61735.57333,0,13408.67567,127121.13
111.01157,8.499,4.708778,359266.6,186641.0933,221582.4767,104064.863,153995.0067,140099.0333,49980.41667
111.01164,7.636,4.1083,304808.898,255072.48,86147.95667,95895.04833,121447.0467,65076.11733,6912.667333
111.0118,11.72,4.461,0,0,0,0,104819.8433,0,0
111.01189,10.393,4.08225,31326.04167,165078.0447,0,90902.70667,103397.249,151180.7323,0
111.01202,11.258,4.7118,0,18803.44133,68637.28,151845.5733,0,11373.06,7412.197333
111.01262,9.603,5.706846,110121.9033,125442.8447,65766.68333,157506.9667,6091.657667,139726.004,53822.84133
111.01273,12.191,2.8550832,112373.102,81661.8,22371.42667,38901.74433,20925.16567,24436.72633,43073.85333
111.11678,9.792,383.44348,503664.8933,439223.3067,429667.6,513919.69,436020.89,517120.2733,437420.1267
112.00503,12.189,3.712143,0,34666.31333,14901.85333,131514.8133,50541.05333,39625.08,40590.70833
112.00539,12.774,2.9142,0,47522.54667,0,168546.93,0,37583.11,4471.895333
112.00593,10.17,3.6885002,162593.84,59946.20667,0,90354.52,55107.30667,0,133428.0727
112.00596,22.113,4.825667,0,48201.882,39093.55467,60559.50567,143790.3767,68119.84,42112.051
112.0063,2.809,3.617625,0,0,0,122695.6767,56841.81367,0,0
112.0065,8.26,3.959,145090.4167,0,0,0,0,0,0
112.00657,8.73,4.128134,116561.27,0,164685.2227,67801.70667,141285.3153,92574.81333,50722.43333
112.00668,11.151,3.929,16030.78133,42630.51,40074.18667,36836.78333,102546.8733,193769.73,88793.48
112.00669,9.427,4.271667,0,0,0,0,126265.1133,88140.6,0
112.00718,7.735,4.2707143,33219.435,35021.72333,174720.4213,7477.483333,105893,0,73369.12
112.00732,0.636,627.556,44021.86733,5511.291,0,0,43452.731,166073.1167,81239.36667
112.0077,5.957,4.123158,179319.7433,332793.9333,418757.8067,310533.8267,157195.7233,138058.72,81442.91333
112.00771,5.346,8.294524,362269.98,397088.6533,260035.6133,243627.0447,72075.06133,43801.67667,43204.82333
112.00803,4.685,7.502125,285041.0313,327254.35,165277.9533,161140.1867,108844.0217,196703.21,169112.5567
112.00819,6.582,5.01275,0,13743.8,45975.48333,85078.27833,0,136202.1267,0
112.0082,7.039,6.7879996,0,8867.623333,0,145412.6667,83200.593,143397.7417,0
112.00852,3.884,5.8371997,53487.56667,0,0,0,0,249009.6967,123446.9267
112.00869,3.527,3.6643333,29994.25333,19696.52333,0,0,77449.9,118038.46,122803.98
113.96226,15.68,2.7450001,0,0,46158.13333,102398.9167,0,146410.8733,0
113.96279,21.65,22.04283,1450516.453,590534.0667,654788.0067,954161.2333,650811.9933,906760.3667,912708.1
113.96283,14.586,5.2404284,0,0,191148.2243,1010865.823,0,0,590491.76
113.96284,15.11,8.5746,0,0,21151.03667,1004122.733,0,0,0
113.9636,13.475,11.796801,1180087,1206056.7,1222269.667,452226.1667,1315029.5,1252339.733,841675.7
113.96362,14.064,13.441062,801064,398083.7,435362.6,450063.8,878379.4333,216363.98,1298178.633
113.96458,12.637,9.082999,383052.1667,0,21640.112,442333.6333,0,846667.1,243250.6
113.96584,12.017,8.2734995,348975.0667,158034.78,218431.4667,0,396636.3,0,0
113.96623,10.712,4.217,0,100088.7933,139180.0933,60020.11333,321970.8333,0,155089.5533
113.96647,11.338,4.5098,336310.4667,156276.22,69523.46333,0,0,0,0
113.96654,9.34,3.4354,0,150883.8433,56675.81333,0,0,15350.79833,0
113.96667,9.902,2.7754548,0,62762.57333,236809.1467,70611.54333,324670.9667,19649.056,0
113.96674,8.882,3.6447496,0,0,0,0,0,0,158999.0333
113.96684,16.992,2.5001,0,0,156613.49,26640.94533,0,42962.47433,199191.1267
113.96857,19.958,5.3937144,373633.52,469938.1733,465445.48,825871.45,370789.6567,182651.9067,332885.0467
113.96899,20.593,4.9660373,512625.02,121094.3867,531454.9467,477900.4867,247356.3,105781.4433,174672.0183
113.96904,19.106,4.4726663,159045.9373,338407.58,322831.2833,343132.9813,505135.9567,478803.68,352116.3033
113.96944,18.258,3.364762,21519.149,476340.3,166555.4,0,232160.8783,291460.8733,251972.1867
114.09052,2.63,6.4802504,194158,0,5206.080667,0,0,0,209424.7683
114.09071,3.15,7.6096897,155861.1933,325201.6967,361640.9467,368330.91,206526.16,154515.0267,251067.6833
114.09096,3.874,7.997415,333600.5533,425369.96,348432.2367,374157.7533,416810.4733,420009.8767,405011.8367
114.09103,12.523,2.5936313,32033.592,29583.88833,155181.7607,42083.05333,23449.887,22742.79733,8843.991
114.97102,21.583,9.90076,144381.6553,190502.7677,115715.075,344457.33,215294.4913,314277.48,337778.4767
114.97142,22.088,3.1149044,124496.0137,13316.17133,18347.284,152978.4497,47587.718,266266.0633,27448.53967
116.0269,0.48,3.214,0,513794.0667,0,0,0,0,0
116.0285,1.066,35.19282,6987113,4310362.75,6190368.167,6221852.333,5457419.667,5297226.333,5065910.167
116.02858,2.96,10.742715,2238227.167,3382345.6,0,0,0,0,0
116.02858,1.723,5.2698464,2286777,3659997.483,6008212.667,6147448.833,5416937.5,5192495.167,5027018.333
116.02879,2.296,20.182734,4403356.333,1579246.333,1987638.167,2040393.167,3516992.333,1743805.833,3255267.667
116.03033,5.389,1114.2264,256968.7,0,90488.83333,32294.85667,1059426,0,68853.18667
116.0308,3.563,6.132667,1907749,0,0,0,0,0,0
116.03101,21.715,2.3845,0,0,88711.72,0,1731503.167,0,0
116.03132,4.592,3.81325,1656368,188128.4,96443.23333,0,1168759.167,0,0
116.03153,4.219,3.0333002,3968092.067,139954.96,217794.7767,0,0,0,0
116.03162,21.149,1210.7185,1699664.433,2584211.533,1635969.3,2618089.8,375332.5733,1291858.44,446552.7733
116.03168,6.355,2.3211668,0,103929.4333,36086.422,0,0,0,74158.51667
116.03175,22.152,4.6175,311595.48,210594.0833,0,97260.31333,0,0,0
116.14224,18.461,12.708518,1605768.367,976790.61,1036686.783,1547999,1608923.667,1431290.233,1190732.9
116.14233,17.185,4.4685,1094132.8,32650.14667,231086.5613,406870.5533,0,231107.5,310176
116.1424,16.626,3.2598,0,69381.74,0,0,0,386527.47,0
116.14248,15.18,3.8494284,356562.7333,0,17310.21233,311898.02,0,0,207259.3533
116.14252,19.343,16.523695,1707436.733,1277235.6,1118934.167,1617366.7,1589908.067,1567342.4,1289861.717
116.14281,20.157,3.878294,386087.3667,546843.2,253415.2567,668007.3667,1037430.933,278888.5267,161442.2667
116.14287,16.053,4.4979,0,68031.64167,148237.0933,200958.0667,0,0,0
116.14308,20.856,2.3678,389289.1333,0,0,38936.50667,5190.902,0,0
116.1431,18.999,15.451811,0,552534.3333,377253.6,1217139.667,1606342.133,531745.3667,1578533.433
116.14387,17.815,7.4656663,569776.6333,46995.72,0,0,513569.7333,121192.3667,0
116.97678,0.151,4.2873335,0,0,0,436985.9333,252001.5833,310573.2,692820.2667
116.97695,1.002,17.135693,3886376.1,2924848.4,3198848.233,3078407.167,2169404.7,2484653.367,1593759.867
116.97709,1.632,4.784678,3832029.167,3328231.333,3264134.467,3305753,2857291.667,2477432,2040050.733
116.97748,2.082,4.7545,1181971.667,1003697.733,0,1758520.667,894722.0667,0,432644.6
116.97813,2.422,591.54346,0,254374.4133,0,1485542.633,1447655.333,1978041.767,1196907.033
116.9793,4.029,3.3482504,0,0,0,0,732122.8667,309700.5667,605906.42
116.97938,21.195,216.26689,113988.6367,132931.248,178361.5733,926637.3867,201658.8233,285967.32,929100.0333
116.98023,3.432,1365.9537,177046,0,208136.1,0,0,484281.6,416636.3967
116.98043,6.763,4.784562,429586.6333,212583.4333,636750.7667,0,541291.1333,307208.7,234110.2333
116.98044,22.135,1669.3556,0,186165.8,0,168571.0733,0,0,0
116.98051,5.226,4.877,493621.3,247931.6333,0,0,0,0,249687.6467
116.98065,7.508,3.9215,0,284830.3133,429205.2467,0,297567.8533,0,181503.5667
116.98071,5.756,3.3613336,474769.8667,0,292549.1333,0,544626.82,0,206798.0333
116.98075,8.732,3.01025,381364.8,256353.3333,0,0,0,0,103585.5933
116.9808,8.194,4.395111,385945.5333,197585.3667,651341.2567,101570.28,361338.9667,148696.1867,425459.75
116.98116,9.931,4.4839997,249719.2333,231708.7,0,268383.6867,51827.56667,219787.1,295623.4333
116.98135,4.896,387.47183,0,0,0,167668.6267,653277.4667,495165.5433,225339.6
116.98149,9.501,317.56622,356491.5333,174294,218454.75,438586.26,25567.96667,610763.1433,115747.98
116.98153,12.098,3.31425,252617.0333,87841.08333,100797.8033,195109.1,259292.4467,56738.86667,51369.09333
116.982,10.584,5.2139444,0,0,387915.7833,456540.9367,299936.19,334388.7433,267097.6667
116.98219,11.568,7.0053334,269464.0833,318969.9167,26676.21667,252515.4733,56364.85233,22269.355,232291.66
116.98311,13.71,245.83238,43536.43833,32242.87233,83852.92333,365388.5887,99458.458,231478.8733,86894.62
116.98322,12.687,443.67145,20849.34233,187109.5633,74882.33433,235016.77,53724.85733,57527.23667,241897.3253
116.98547,15.387,2869.7854,20425.28767,0,0,0,163584.0687,33743.31533,0
116.98574,16.91,5000,0,0,126247.3667,0,16185.78267,0,14547.151
117.02706,2.462,2.4471998,52130.75333,32542.034,113882.9833,51095.93733,30429.60167,22138.13733,44078.57467
117.08909,2.572,2.607966,240509.1257,129403.0727,294609.3233,161977.9533,165094.4733,142270.4487,219369.3967
117.08989,3.368,4.234207,421828.8367,185961.2133,224387.9833,236684.5967,412680.0433,157145.23,142509.465
117.08993,4.066,2.5495715,330307.3033,189084.66,172300.9167,127871.4227,355109.2767,215493.328,96715.39933
118.02209,9.035,5.14525,140551.1467,0,0,48470.71333,0,25520.92333,0
118.02253,5.062,2.5480769,8060.746,65893.59333,103034.411,9254.078667,59549.427,29881.40567,7747.24
118.0231,8.554,3.5963807,342606.78,201593.2467,147491.2167,159490.2967,80620.14533,49768.25367,60698.30267
118.02316,5.648,2.659077,104982.98,123050.5483,18206.14,12469.93867,103031.1133,12143.625,70802.90933
118.02342,9.674,3.7246003,133553.8303,53850.495,65599.166,185320.25,67730.02267,70522.38267,22733.619
118.02349,7.548,2.867421,201633.8053,5630.33,270224.7733,137115.9873,45420.68333,95090.609,30192.10867
118.02389,11.194,2.94,62399.82333,155897.102,34433.821,83863.75633,0,0,0
118.02393,21.347,5.108621,239020.4433,245149.5133,186162.2267,173799.2367,175506.8533,159160.98,136010.5367
118.02399,7.024,2.4347498,0,208372.7333,16937.26167,48642.82667,0,0,18890.27267
118.12148,3.746,1341.8582,0,5558.317667,21779.07767,89144.52333,113765.2,134641.6333,103827.5233
118.12148,7.104,337.9753,0,3841.793333,28849.84167,163419.8213,133895.91,192530.53,50976.39233
119.00955,4.099,3.6377242,561546.2633,244139.41,422860.7633,321403.9867,466927.74,247394.9137,243009.63
119.00956,4.874,5.397417,365018.1967,327040.5933,150077,462380.7467,346772.7467,187303.739,155610.8367
119.00982,6.265,3.7403164,147587.1983,86197.55333,61630.22333,108480.9733,25103.12,134881.9167,50258.043
119.01011,3.442,3.9567652,230033.0267,146175.6867,222243.2067,179507.1,25317.25533,83517.63333,20653.27867
119.01028,5.636,3.4219003,190519.8967,117575.5267,50670.06667,171131.2067,43336.13933,87003.05533,46724.99367
119.01117,6.98,4.29775,0,59369.92333,0,0,0,130495.1333,115848.1733
119.01167,2.747,2.935435,10288.871,162102.4433,48408.92333,65535.14533,19590.10433,17291.62567,144307.3643
120.95281,0.12,3.3087778,170494.7767,136849.35,93921.04333,24974.41,115548.4633,62290.17,61513.46667
120.95281,0.929,8.224185,359079.8633,213885.2767,403638.49,380189.28,214872.41,279371.5,269936.58
120.9529,1.736,3.5317035,394309.38,240781.9183,233810.8567,260386.3733,284826.77,420399.79,226838.276
120.95348,2.361,3.1891575,409041.2433,157684.8333,194528.2733,195707.8527,20166.10933,300596.3067,259603.3067
120.95493,21.678,2.7834284,250016.9233,83620.86867,115231.623,12587.221,86818.02667,5416.541667,73027.45333
121.00637,2.145,27.05425,0,1192441.133,0,0,204512.2333,0,0
121.00646,2.739,13.406125,1147307.133,1064808.933,1081748.233,159364.1133,449321.2833,96336.79333,0
121.00666,1.588,8.69511,0,1159417.133,474712.5333,0,93223.76667,215041.7667,0
121.00666,3.363,25.880405,1805652.467,1207571.467,1667393.533,1629281.167,1137399.333,1437463.4,1443864
121.00692,4.086,25.726181,1845937.133,1401498.4,1568662.767,1409130.967,1368673.567,1014539.567,1006202.747
121.00731,0.758,569.3264,0,128507.5667,0,41092.9,478138.7267,69699.1,0
121.00748,5.007,13.049713,1760742.567,1082433.8,1358001.2,1029499.067,581705.9267,613644.4067,44645.54
121.00902,21.942,6.2379003,0,0,0,320176.2267,149281.5,70204.42333,0
121.00904,7.46,3.9191666,0,0,342925,0,246794.5667,167477.6067,0
121.00907,5.88,11.650001,0,176355.3133,235662.6333,544204.6,64524.60333,155267.7357,0
121.00933,6.47,6.7408752,0,200444,0,652962.4533,0,69136.36,0
121.01025,21.067,695.618,369523.1133,554265.8933,340279.73,273238.8733,465211.17,258120.5933,220736.2833
121.011,22.44,5000,0,232601.0833,0,0,0,0,0
121.0511,9.585,3.1865,0,0,0,0,0,118066.04,0
121.05162,5.799,17.717852,11869421,11525996,11025506,10667669.33,9569930.667,9137106.667,8822265.333
121.05167,4.17,8.781834,0,0,0,3513213.333,3137391.333,3017947.333,0
121.05173,5.335,26.829874,11838943.67,11517472,10982671.67,7063605.667,9680282.667,6088650,8833117.667
121.05189,4.958,23.271421,11684648.33,11412559.33,10862907.33,10500294.67,9513830,8999276,8726616.667
121.0534,16.41,2.116,0,0,0,116868.6,0,0,0
121.05348,21.016,4.9194,0,0,0,202005.6867,145522.46,122121.1333,0
122.05076,6.87,2.7203808,0,0,49742.429,83540.76167,83629.59,97710.841,440402.0967
122.05102,7.272,3.6559231,299805.15,10130.02333,0,77730.92667,25437.03833,72656.07933,66092.535
122.05241,5.363,755.97046,860714.8667,774255.5333,365797.2367,86029.159,0,148598.87,80050.79
122.05243,21.638,420.99332,7071.050667,72931.06667,64059.19333,69118.18333,0,155620.2467,36175.08333
122.05244,1.237,3.2096872,0,115795.391,0,0,583820.38,203041.9433,14032.89
122.05247,19.603,3.838,0,0,0,38112.77333,162499.5933,0,0
122.05322,1.922,3.5719998,0,48323.68333,0,0,407172.3333,0,9992.719333
122.05323,20.472,3.2294998,0,0,22881.92,25829.59333,165528.3533,0,0
122.05392,5.865,7.948667,855267.4,747150.9867,0,172933.92,0,0,206616.25
122.05453,4.054,11.108778,0,0,443973.6333,511198.54,239383.3,227031.9333,214272.8333
122.0546,14.863,3.2473335,148801.5667,20959.06,0,0,0,0,0
122.05461,3.566,7.84796,388158.1667,353867.4967,556607.31,521355.96,125900.8,414473.09,433124.2167
122.05492,4.473,7.0485387,686688.3333,296724.1333,781858.82,592254.3533,170732.4743,276359.6987,87935.545
122.05493,12.087,2.7253332,0,16794.45833,14886.09667,22982.50533,0,87038.41667,194185.0333
122.05516,10.507,3.1213336,103880.5,0,0,15421.02067,210011.3533,107764.782,0
122.05526,9.783,4.5811667,218615.2333,61031.84,74319.26667,0,211933.7667,0,0
122.05536,8.656,3.1693997,0,0,55468.69333,0,211511.9667,0,256936.3283
122.05585,13.258,3.2133331,0,0,0,45207.658,209478.1,0,0
122.05585,2.739,4.3217263,112777.4267,132733.5233,204763.71,53846.74133,394898,276411.0767,229995.16
122.05587,7.965,5.36775,0,84151.56,0,0,197856.8667,0,0
122.05641,11.176,3.2374,257884.3667,101650.9467,0,0,0,13548.625,55479.22333
122.96683,2.672,3.1190007,158581.8533,218736.4433,225240.76,127458.29,98537.51833,88766.138,112568.3027
